Country,Average_IQ,Continent,Literacy_Percentage,Cumulative_Nobel_Prize,HDI,Average_School_Education,GNI,Population
Japan,106.48,Asia,99.0,29,0.925,13.4,42274.0,123294513
Taiwan,106.47,Asia,96.0,4,0.0,0.0,0.0,10143543
Singapore,105.89,Asia,97.0,0,0.939,11.9,90919.0,6014723
Hong Kong,105.37,Asia,94.0,1,0.952,12.2,62607.0,7491609
China,104.1,Asia,96.0,8,0.768,7.6,17504.0,1425671352
South Korea,102.35,Asia,98.0,0,0.925,12.5,44501.0,51784059
Belarus,101.6,Europe,100.0,2,0.808,12.1,18849.0,9498238
Finland,101.2,Europe,100.0,5,0.94,12.9,49452.0,5545475
Liechtenstein,101.07,Europe,100.0,0,0.935,12.5,146830.0,	39315
Germany,100.74,Europe,99.0,111,0.942,14.1,54534.0,83294633
Netherlands,100.74,Europe,99.0,22,0.941,12.6,55979.0,17618299
Estonia,100.72,Europe,100.0,0,0.89,13.5,38048.0,1322766
Luxembourg,99.87,Europe,100.0,2,0.93,13.0,84649.0,654.768
Macao,99.82,Asia,97.0,0,0.0,0.0,0.0,704.15
Cambodia,99.75,Asia,78.0,0,0.593,5.1,4079.0,16944826
Canada,99.52,North America,99.0,28,0.936,13.8,46808.0,38781292
Australia,99.24,Oceania,99.0,12,0.951,12.7,49238.0,26439112
Hungary,99.24,Europe,99.0,13,0.846,12.2,32789.0,10156239
Switzerland,99.24,Europe,99.0,27,0.962,13.9,66933.0,8796669
United Kingdom,99.12,Europe,99.0,137,0.929,13.4,45225.0,67736802
North Korea,98.82,Asia,100.0,0,0.0,0.0,0.0,26160822
Slovenia,98.6,Europe,100.0,1,0.918,12.8,39746.0,2119675
New Zealand,98.57,Oceania,99.0,3,0.937,12.9,44057.0,5228100
Austria,98.38,Europe,98.0,22,0.916,12.3,53619.0,8958961
Iceland,98.26,Europe,99.0,1,0.959,13.8,55782.0,375.319
Denmark,97.83,Europe,99.0,13,0.948,13.0,60365.0,5910913
Belgium,97.49,Europe,99.0,11,0.937,12.4,52293.0,11686140
United States,97.43,North America,99.0,400,0.921,13.7,64765.0,339996564
Norway,97.13,Europe,100.0,13,0.961,13.0,64660.0,5474360
Sweden,97.0,Europe,99.0,32,0.947,12.6,54489.0,10612086
France,96.69,Europe,99.0,71,0.903,11.6,45937.0,64756584
Poland,96.35,Europe,100.0,19,0.876,13.2,33034.0,41026068
Slovakia,96.32,Europe,100.0,0,0.848,12.9,30690.0,5795199
Russia,96.29,Europe/Asia,100.0,0,0.822,12.8,27166.0,144444359
Lithuania,95.89,Europe,100.0,3,0.875,13.5,37931.0,2718352
Croatia,95.75,Europe,99.0,2,0.858,12.2,30132.0,4008617
Andorra,95.2,Europe,100.0,0,0.858,10.6,51167.0,76.965
Ireland,95.13,Europe,99.0,11,0.945,11.6,76169.0,5056935
Czech republic,94.92,Europe,99.0,6,0.889,12.9,38745.0,10495295
Latvia,94.79,Europe,100.0,1,0.863,13.3,32803.0,1830212
Italy,94.23,Europe,99.0,21,0.895,10.7,42840.0,58870763
New Caledonia,93.92,Oceania,97.0,0,0.0,0.0,0.0,292.991
Vanuatu,93.92,Oceania,85.0,0,0.607,7.1,3085.0,334.506
Spain,93.9,Europe,98.0,8,0.905,10.6,38354.0,47519628
Bermuda,93.48,North America,98.0,0,0.0,0.0,0.0,63.837
Cyprus,93.39,Europe,99.0,1,0.896,12.4,38188.0,1260138
Portugal,92.77,Europe,95.0,2,0.866,9.6,33155.0,10247605
Israel,92.43,Asia,97.0,13,0.919,13.3,41524.0,9174520
Barbados,91.6,Central America,100.0,0,0.79,9.9,12306.0,281.996
Malta,91.27,Europe,94.0,0,0.918,12.2,38884.0,535.065
Myanmar,91.18,Asia,93.0,1,0.585,6.4,3851.0,54577997
Mongolia,91.03,Asia,98.0,0,0.739,9.4,10588.0,3447157
Bulgaria,90.99,Europe,98.0,1,0.795,11.4,23079.0,6687717
Greece,90.77,Europe,95.0,2,0.887,11.4,29002.0,10341277
Suriname,90.29,South America,96.0,0,0.73,9.8,12672.0,623.237
Ukraine,90.07,Europe,100.0,6,0.773,11.1,13256.0,36744634
Moldavia,89.98,Europe,99.0,0,0.767,11.8,14875.0,3435931
Serbia,89.6,Europe,98.0,0,0.802,11.4,19123.0,7149077
Vietnam,89.53,Asia,95.0,1,0.703,8.4,7867.0,98858950
Iraq,89.28,Asia,80.0,1,0.686,7.9,9977.0,45504560
Uzbekistan,89.01,Asia,100.0,0,0.727,11.9,7917.0,35163944
Kazakhstan,88.89,Asia,100.0,0,0.811,12.3,23943.0,19606634
Thailand,88.87,Asia,94.0,0,0.8,8.7,17030.0,71801279
Armenia,88.82,Asia,100.0,0,0.759,11.3,13158.0,2777971
Bosnia and Herzegovina,88.54,Europe,98.0,2,0.78,10.5,15242.0,3210848
Costa Rica,88.34,Central America,98.0,1,0.809,8.8,19974.0,5212173
Bhutan,87.94,Asia,64.0,0,0.666,5.2,9438.0,787.425
Chile,87.89,South America,97.0,2,0.855,10.9,24563.0,19629590
Mexico,87.73,North America,95.0,3,0.758,9.2,17896.0,128455567
Tajikistan,87.71,Asia,100.0,0,0.685,11.3,4548.0,10143543
Uruguay,87.59,South America,98.0,0,0.809,9.0,21269.0,3423109
Brunei,87.58,Asia,97.0,0,0.829,9.2,64490.0,452.524
Malaysia,87.58,Asia,95.0,0,0.803,10.6,26658.0,34308525
Bahamas,86.99,Central America,96.0,0,0.812,12.6,30486.0,412.624
Romania,86.88,Europe,99.0,5,0.821,11.3,30027.0,19892812
Türkiye,86.8,Europe/Asia,96.0,2,0.838,8.6,31033.0,85816199
Argentina,86.63,South America,98.0,5,0.842,11.1,20925.0,45773884
Sri Lanka,86.62,Asia,93.0,0,0.782,10.8,12578.0,21893579
Mauritius,86.56,Africa,91.0,0,0.802,10.4,22025.0,1300557
Turkmenistan,85.86,Asia,100.0,0,0.745,11.3,13021.0,6516100
Montenegro,85.78,Europe,99.0,0,0.832,12.2,20839.0,626.485
Trinidad and Tobago,85.63,Central America,99.0,1,0.81,11.6,23392.0,1534937
Azerbaijan,84.81,Asia,100.0,1,0.745,10.5,14257.0,10412652
Georgia,84.5,Europe/Asia,100.0,0,0.802,12.8,14664.0,3728282
Turks and Caicos Islands,84.29,Central America,98.0,0,0.0,0.0,0.0,44.104
Paraguay,84.04,South America,96.0,0,0.717,8.9,12349.0,6861524
Federated States of Micronesia,83.96,Oceania,89.0,0,0.628,7.8,3696.0,115.224
Fiji,83.96,Oceania,94.0,0,0.73,10.9,9980.0,936.375
Marshall Islands,83.96,Oceania,98.0,0,0.639,10.9,4620.0,41.996
Solomon Islands,83.96,Oceania,84.0,0,0.564,5.7,2482.0,740.425
Cuba,83.9,Central America,100.0,0,0.764,12.5,7879.0,11194449
Bahrain,83.6,Asia,96.0,0,0.875,11.0,39497.0,1485510
Brazil,83.38,South America,93.0,0,0.754,8.1,14370.0,216422446
Guyana,83.23,South America,88.0,0,0.714,8.6,22465.0,813.834
Colombia,83.13,South America,95.0,2,0.752,8.9,14384.0,52085168
Venezuela,82.99,South America,95.0,1,0.691,11.1,4811.0,28838499
Cayman Islands,82.24,Central America,99.0,0,0.0,0.0,0.0,69310
Afghanistan,82.12,Asia,38.0,0,0.478,3.0,1824.0,42239854
Haiti,82.1,Central America,61.0,0,0.535,5.6,2848.0,11724764
Dominican Republic,82.05,Central America,92.0,0,0.767,9.3,17990.0,11332973
United Arab Emirates,82.05,Asia,93.0,0,0.911,12.7,62574.0,9516871
Puerto Rico,81.99,Central America,93.0,0,0.0,0.0,0.0,3260314
North Macedonia,81.91,Europe,98.0,0,0.77,10.2,15918.0,2085679
Albania,81.75,Europe,98.0,0,0.796,11.3,14131.0,2832439
Lebanon,81.7,Asia,94.0,0,0.706,8.7,9526.0,5353930
Philippines,81.64,Asia,97.0,1,0.699,9.0,8920.0,117337368
Peru,81.44,South America,94.0,1,0.762,9.9,12246.0,34352719
Northern Mariana Islands,81.36,Oceania,97.0,0,0.0,0.0,0.0,49.796
Laos,80.99,Asia,80.0,0,0.607,5.4,7700.0,7633779
Libya,80.92,Africa,91.0,0,0.718,7.6,15336.0,6888388
Qatar,80.78,Asia,98.0,0,0.855,10.0,87134.0,2716391
Jordan,80.7,Asia,98.0,0,0.72,10.4,9924.0,11337053
Maldives,80.54,Asia,99.0,0,0.747,7.3,15448.0,521.022
Iran,80.01,Asia,87.0,1,0.774,10.6,13001.0,89172767
Pakistan,80.0,Asia,56.00000000000001,2,0.544,4.5,4624.0,240485658
